rt_bin,precursor_mz,rt_seconds,log10_ms1_height,ms1_n_peaks,ms2_n_peaks,ms2_log10_total_intensity,ms2_log10_max_intensity,ms2_frac_top3,n_samples_detected,log10_mean_detected_intensity,log10_max_detected_intensity,confidence_exact
4,312.91731,25.24,4.406370,11,132,6.250961,5.371577,0.286860,11,2.683249,2.901966,0.007
4,337.96745,25.24,4.000000,9,147,6.248650,5.371577,0.288390,11,2.187035,2.493996,0.057
4,353.94382,25.24,4.270912,12,110,6.230528,5.371577,0.300679,11,2.566218,2.743875,0.061
4,265.08498,25.23,3.873495,5895,17,5.448783,5.052799,0.728997,11,2.005696,2.278115,0.031
4,311.07856,25.32,4.345178,4,22,5.009128,4.211274,0.391403,5,2.424128,2.755143,0.026
4,349.04903,25.35,3.863561,7,21,5.866797,5.247473,0.517519,13,1.973722,2.316517,0.031
4,288.92936,25.36,4.125481,4,26,5.872035,5.235451,0.508007,12,2.067866,2.570051,0.034
4,561.12429,25.39,3.710625,6,23,5.825137,5.238647,0.528068,13,1.400772,2.145336,0.038
4,365.02243,25.40,4.621592,6,25,5.883887,5.398482,0.589083,12,2.615708,3.068607,0.061
4,577.09867,25.54,3.955880,5,29,5.831631,5.215370,0.465413,11,1.719855,2.370141,0.168
4,243.09299,25.86,3.713154,4,4,3.950427,3.558577,0.863220,11,1.865785,2.197881,0.045
4,158.09106,25.77,4.172603,5402,11,5.011244,4.803415,0.826224,11,2.268005,2.640168,0.636
4,447.13932,26.13,3.783475,4,29,6.218036,5.768998,0.548538,12,1.491948,2.253114,0.017
4,251.03814,26.29,5.808143,6,58,6.455447,5.903339,0.536996,12,3.876687,4.371171,0.098
4,258.90808,26.29,4.516800,5,56,6.328391,5.504366,0.371136,12,2.516186,2.963781,0.006
4,319.02797,26.29,4.213518,6,57,6.328690,5.504366,0.370881,12,2.285388,2.661976,0.015
4,387.01766,26.29,4.314499,5,51,6.310535,5.504366,0.386713,10,2.407472,2.782266,0.047
4,335.00272,26.29,4.917925,6,61,6.465132,5.903339,0.525153,15,2.694255,3.419923,0.113
4,402.99131,26.29,4.726401,5,44,6.429770,5.903339,0.569702,12,2.759639,3.162686,0.055
4,470.98155,26.29,4.033021,6,56,6.328391,5.504366,0.371136,11,2.139557,2.485168,0.109
4,486.95522,26.29,4.404492,7,61,6.465132,5.903339,0.525153,12,2.480660,2.875805,0.047
4,502.93026,26.29,4.649919,6,61,6.466623,5.903339,0.523354,12,2.420278,3.116284,0.008
4,531.10317,26.29,3.852724,4,28,6.207005,5.768998,0.562648,8,1.718854,2.309723,0.062
4,288.91605,26.29,4.553762,7477,22,5.999208,5.491638,0.622489,9,2.608556,2.957249,0.020
4,463.11351,26.47,4.038620,6,35,6.383144,5.903339,0.634270,11,1.877036,2.581554,0.041
4,365.00959,26.51,3.824581,8,26,5.927248,5.381816,0.585111,10,1.893458,2.288582,0.051
4,288.91626,26.82,4.762829,5,27,6.050993,5.481053,0.586817,4,2.977908,3.243908,0.030
4,432.99519,26.82,3.800305,8,31,6.093594,5.459126,0.573463,7,2.048855,2.245558,0.011
4,472.81106,26.82,4.655427,5,32,6.112632,5.481053,0.638666,11,2.908728,3.093177,0.023
4,640.73422,26.82,4.315340,5,33,6.147641,5.524998,0.652149,9,2.442933,2.748506,0.025
4,222.99637,26.82,4.105851,8054,6,5.148827,4.911710,0.857273,12,1.798236,2.421031,0.386
4,449.0795,27.35,4.809896,7153,9,5.731243,5.612057,0.929788,11,2.461589,2.835127,0.119
4,465.05336,27.35,4.832764,8,7,4.958185,4.612141,0.721129,10,2.951928,3.237207,0.129
4,611.13823,27.35,4.282849,7153,9,5.731992,5.612057,0.928186,11,1.900393,2.297395,0.015
4,251.02868,27.35,5.179552,5,37,6.474806,5.716831,0.446396,11,3.146881,3.681804,0.104
4,242.92265,27.35,4.384353,9120,56,6.351655,5.576595,0.347953,9,2.433993,2.856352,0.011
4,387.00236,27.35,4.100371,4,38,6.480899,5.716831,0.440178,10,2.173144,2.562297,0.018
4,334.99024,27.35,4.056142,5,36,6.403231,5.699121,0.479321,8,2.004701,2.512892,0.023
4,502.91142,27.35,3.793651,5,37,6.354418,5.699121,0.536340,7,1.729309,2.238659,0.040
4,309.06808,27.51,3.967314,4,13,5.756309,5.665521,0.946131,12,2.279251,2.526732,0.211
4,296.07557,27.55,5.114277,8,24,6.221445,5.907511,0.854992,12,2.904325,3.591444,0.104
4,769.2408,27.62,4.220892,3,26,6.221705,5.907511,0.854479,15,2.127305,2.675598,0.345
4,555.20713,27.35,4.368473,6555,23,6.220333,5.907511,0.857185,12,2.023977,2.548994,0.038
4,858.2568,27.35,4.168792,6848,25,6.222208,5.907511,0.853490,15,2.264336,2.556296,0.206
4,777.22916,27.67,4.206556,6,26,6.221705,5.907511,0.854479,14,2.362702,2.649747,0.107
4,769.74376,27.67,3.940566,7,26,6.313096,5.866539,0.642382,14,1.908914,2.368564,0.014
4,455.12984,27.68,4.060698,6,29,6.223930,5.907511,0.850114,12,2.106964,2.545304,0.087
4,534.11379,27.88,4.448552,6632,17,6.115915,5.792778,0.872227,12,2.016891,2.494356,0.049
4,939.28408,27.35,3.989895,5710,17,6.204554,5.866539,0.824774,12,2.224266,2.376808,0.032
4,351.0805,27.88,3.787744,6632,22,6.274719,5.999908,0.854952,11,2.043440,2.396767,0.032
4,539.23291,27.88,4.324282,5692,17,6.115915,5.792778,0.872227,12,2.023568,2.572713,0.047
4,323.08554,27.74,3.845532,3,30,6.478456,5.907511,0.618318,10,1.671452,2.301076,0.166
4,696.19451,27.88,4.141763,5892,21,6.270650,5.999908,0.863001,14,2.127572,2.506165,0.187
4,353.09675,27.76,4.091667,4,72,6.575061,5.791873,0.419307,12,2.196900,2.531311,0.069
4,280.10115,27.88,3.945272,5952,57,6.530108,5.791873,0.465035,11,1.775554,2.247375,0.039
4,381.08993,27.80,6.656769,8,52,6.707940,5.907511,0.399619,12,5.076434,5.255730,0.085
4,381.28865,27.84,5.340047,4,41,6.513325,5.907511,0.570614,11,3.605955,3.812129,0.234
4,205.07388,27.88,5.120903,3,48,6.705599,5.907511,0.401779,8,2.821645,3.591299,0.449
4,329.09662,27.88,3.764550,3,13,5.956688,5.613635,0.882057,9,1.884458,2.231089,0.055
4,518.1404,27.88,4.371622,6043,24,5.598093,5.471520,0.864995,10,1.874095,2.362592,0.459
4,548.17872,27.88,4.270912,3,40,6.637413,5.796993,0.405608,6,2.157271,2.694091,0.085
4,265.0201,27.88,4.329805,9802,6,4.578751,4.100851,0.745243,11,2.247950,2.487119,0.037
4,850.26542,27.88,4.174351,2,65,6.617199,5.791873,0.380535,7,2.347683,2.582512,0.074
4,264.08429,27.93,3.824581,4,62,6.576369,5.866539,0.412250,9,1.969319,2.383503,0.056
4,513.13856,27.96,3.718585,9,19,6.222648,5.903722,0.843222,12,2.012858,2.361519,0.091
4,279.05663,28.02,4.365675,5,28,6.144618,5.651439,0.839091,10,2.454773,3.015499,0.246
4,443.13542,28.02,3.864036,2,66,6.605729,5.791873,0.390719,10,2.005788,2.502825,0.153
4,543.14733,28.04,6.230960,5,46,6.634190,5.907511,0.450788,12,4.726710,4.962091,0.001
4,281.08042,27.88,4.048053,5952,49,6.524590,5.866539,0.464451,10,1.883022,2.245978,0.051
4,354.1179,28.08,3.769303,3,52,6.572349,5.791873,0.421934,12,2.044273,2.398311,0.222
4,365.1156,28.08,6.198107,7,40,6.653975,5.907511,0.452493,12,4.417358,4.786924,0.630
4,517.02628,27.88,4.080987,6504,20,6.224501,5.903722,0.839631,9,1.987194,2.368982,0.079
4,293.07311,28.15,4.578066,6,59,6.542879,5.791873,0.451559,15,2.628667,3.059246,0.033
4,516.17522,28.18,3.713575,2,46,6.501547,5.697509,0.432569,13,1.925053,2.387172,0.055
4,723.21737,28.21,4.164650,7,43,6.714358,5.907511,0.393757,12,2.598111,2.756551,0.079
4,465.03475,28.36,4.643156,4,11,5.232337,4.838303,0.743607,11,2.780155,3.036232,0.021
4,274.11277,28.41,3.887336,4985,32,6.472562,5.796993,0.525403,10,2.180643,2.438999,0.072
4,199.1265,28.41,3.841672,2,11,5.213636,4.778399,0.732859,6,1.630014,2.362576,0.092
4,435.14733,28.41,3.834929,2,57,6.601622,5.791873,0.394432,10,2.100252,2.464524,0.030
4,282.08214,28.41,4.546296,9484,21,5.785459,5.620602,0.817367,12,2.121441,2.662215,0.198
4,257.00073,28.41,3.901676,9484,13,5.311220,4.897059,0.715924,12,1.823399,2.194778,0.054
4,253.00873,28.41,3.920749,7,20,5.802128,5.620602,0.786588,8,1.750359,2.293612,0.020
4,272.97468,28.41,4.157457,5,12,5.331390,5.110903,0.807562,10,2.140572,2.586763,0.126
4,268.98134,28.41,4.234264,10382,21,5.928289,5.722613,0.773977,11,2.077761,2.393403,0.071
4,296.06345,28.41,5.492201,11,20,6.063561,5.907481,0.838254,11,3.624411,3.984259,0.100
4,449.05929,28.41,4.628185,10109,11,5.321782,4.838303,0.699309,11,2.751777,2.943989,0.342
4,279.04484,28.46,5.149835,3,25,6.107682,5.906818,0.756540,11,3.577132,3.750371,0.234
4,867.26106,28.49,5.496653,5,37,6.556634,5.796993,0.487313,12,3.963804,4.167911,0.047
4,249.0358,28.51,4.997867,4,29,6.251583,5.906818,0.724763,11,3.461209,3.615679,0.515
4,203.1197,28.56,3.940267,2,17,6.151617,5.771475,0.711415,16,1.969063,2.555970,0.008
4,362.10763,27.88,3.913867,4829,68,6.599275,5.791873,0.396569,9,2.168560,2.580357,0.058
4,851.28492,28.65,5.381296,7,37,6.556634,5.796993,0.487313,12,3.576049,4.033542,0.129
4,280.08948,28.72,4.969323,5,18,6.077748,5.946606,0.892142,12,3.002238,3.474414,0.037
4,301.16025,28.76,3.745153,6,28,6.031540,5.664283,0.759622,14,1.880272,2.308852,0.016
4,173.09921,28.78,3.814048,2,23,5.784453,5.459580,0.799959,9,1.812362,2.420359,0.392
4,219.08167,28.81,4.330211,3,56,6.315068,5.926286,0.589301,8,2.659908,3.007706,0.087
4,281.06796,28.89,4.635785,2,65,6.425178,5.797622,0.492289,10,3.060632,3.238972,0.067
4,353.08009,28.89,5.311330,12,38,6.418173,5.933234,0.632303,11,3.689300,3.913070,0.053
4,524.16376,27.88,3.744919,4829,65,6.507311,5.697509,0.426866,12,1.760662,2.267039,0.070
